Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12-08-2002,24.14693822,27.10258683,24.14693822,26.37760925,0,0,0
13-08-2002,26.56350332,27.11187744,26.12666117,26.65643692,0,0,0
14-08-2002,26.58209764,27.13974865,26.38690956,26.88881302,0,0,0
15-08-2002,26.86091561,27.26987571,26.43337106,27.04681206,0,0,0
16-08-2002,26.9724577,27.33494377,26.43338604,27.05610466,0,0,0
19-08-2002,26.97246232,27.39071655,26.56350332,27.11187744,0,0,0
20-08-2002,27.11187744,27.57659366,26.5820902,27.11187744,0,0,0
21-08-2002,27.13975193,27.67883994,26.76798353,27.11187744,0,0,0
22-08-2002,27.13975401,27.75319916,26.86092685,27.23270798,0,0,0
23-08-2002,27.13975402,27.8368346,26.95386322,27.32564163,0,0,0
26-08-2002,27.26987571,27.88330779,26.9724553,27.33494377,0,0,0
27-08-2002,27.33494377,27.88330891,26.97246113,27.33494377,0,0,0
28-08-2002,27.39071655,27.88331126,27.08399638,27.34423065,0,0,0
29-08-2002,27.42789375,27.88331441,27.11187744,27.39071655,0,0,0
30-08-2002,27.51153688,28.05991066,27.13975401,27.39071655,0,0,0
02-09-2002,27.60448556,28.06920383,27.15833318,27.46505928,0,0,0
03-09-2002,27.66024603,28.06920495,27.21411992,27.48365974,0,0,0
04-09-2002,27.69742491,28.18073508,27.24199635,27.56730461,0,0,0
05-09-2002,27.6974263,28.20861244,27.24200048,27.60447884,0,0,0
06-09-2002,27.6974281,28.25508888,27.26987445,27.61376953,0,0,0
09-09-2002,27.85542617,28.25509193,27.30705145,27.62306786,0,0,0
10-09-2002,27.88329723,28.36663153,27.33494377,27.68812752,0,0,0
11-09-2002,27.88330779,28.37591549,27.33494814,27.7439003,0,0,0
12-09-2002,27.88331126,28.44097321,27.3628253,27.77178001,0,0,0
13-09-2002,27.90190954,28.47815093,27.39071655,27.77178001,0,0,0
16-09-2002,28.07849817,28.48744774,27.43717912,27.79964828,4560,0,0
17-09-2002,28.17143389,28.51533154,27.4743566,27.82754898,4904,0,0
18-09-2002,28.1714431,28.52463514,27.53012689,27.82754898,9608,0,0
19-09-2002,28.20861244,28.54320717,27.53012934,27.89261436,10272,0,0
20-09-2002,28.21791176,28.60828,27.55799247,28.06920242,11976,0,0
23-09-2002,28.40379604,28.62687128,27.60448616,28.11567497,13808,0,0
24-09-2002,28.42238717,28.71051128,27.69741962,28.19932175,14072,0,0
25-09-2002,28.44097321,28.77558064,27.69742491,28.20861244,15168,0,0
26-09-2002,28.44097556,28.79416195,27.88329723,28.20861244,17040,0,0
27-09-2002,28.4409803,28.79416849,27.88331145,28.23648453,18416,0,0
30-09-2002,28.44098033,28.80345801,27.90189708,28.24579811,19040,0,0
01-10-2002,28.44098574,28.95216781,27.90190403,28.2643795,19760,0,0
02-10-2002,28.47815093,28.99863806,27.93907437,28.2643795,19856,0,0
03-10-2002,28.48744774,28.99863948,28.06919578,28.2643795,20064,0,0
04-10-2002,28.4967353,29.08227884,28.06920435,28.41309166,20576,0,0
07-10-2002,28.54320717,29.14734119,28.08778579,28.44096375,21032,0,0
